language,word_count,subword_count,subword_word_ratio
English,22,28,1.2727272727272727
English,37,53,1.4324324324324325
English,48,64,1.3333333333333333
English,38,53,1.394736842105263
English,18,28,1.5555555555555556
English,12,23,1.9166666666666667
English,16,26,1.625
English,44,64,1.4545454545454546
English,47,68,1.446808510638298
English,47,70,1.4893617021276595
English,10,13,1.3
English,16,18,1.125
English,11,13,1.1818181818181819
English,36,45,1.25
English,32,41,1.28125
English,35,46,1.3142857142857143
English,16,25,1.5625
English,15,24,1.6
English,12,20,1.6666666666666667
English,40,64,1.6
English,37,65,1.7567567567567568
English,49,69,1.4081632653061225
English,30,56,1.8666666666666667
English,33,62,1.878787878787879
English,32,59,1.84375
English,28,35,1.25
English,18,24,1.3333333333333333
English,18,23,1.2777777777777777
English,30,41,1.3666666666666667
English,35,46,1.3142857142857143
English,36,49,1.3611111111111112
English,27,35,1.2962962962962963
English,27,33,1.2222222222222223
English,29,35,1.206896551724138
English,21,32,1.5238095238095237
English,18,30,1.6666666666666667
English,20,32,1.6
English,37,52,1.4054054054054055
English,35,49,1.4
English,35,49,1.4
English,33,43,1.303030303030303
English,28,37,1.3214285714285714
English,26,35,1.3461538461538463
English,15,22,1.4666666666666666
English,17,28,1.6470588235294117
English,17,25,1.4705882352941178
English,15,24,1.6
English,15,25,1.6666666666666667
English,18,28,1.5555555555555556
English,36,50,1.3888888888888888
English,39,54,1.3846153846153846
English,35,49,1.4
English,17,27,1.588235294117647
English,16,25,1.5625
English,17,26,1.5294117647058822
English,11,15,1.3636363636363635
English,13,16,1.2307692307692308
English,11,20,1.8181818181818181
English,34,50,1.4705882352941178
English,32,47,1.46875
English,32,48,1.5
English,12,25,2.0833333333333335
English,10,24,2.4
English,13,26,2.0
English,39,50,1.2820512820512822
English,42,53,1.2619047619047619
English,40,50,1.25
English,34,42,1.2352941176470589
Chinese,31,23,0.7419354838709677
Chinese,18,14,0.7777777777777778
